Name,Description,Net_Worth,Date_of_Birth,Gender,Height,Profession,Nationality,Sentiment
Kajol,"Kajol Devgn net worth: Kajol Devgn, aka Kajol, is an Indian film actress who has a net worth of $16 million. Born to actress Tanuja and film director Shomu Mukherjee, Kajol set foot in acting with the 1992 movie Bekhudi, while still at school. In order to pursue an acting career she quit her studies, and enjoyed her first commercial success with the 1993 thriller Baazigar. More public recognitions followed as she played lead roles in several smash-hit family dramas, such as Dilwale Dulhaniya Le Jayenge (1995), Kuch Kuch Hota Hai (1998), and Kabhi Khushi Kabhie Gham… (2001). While taking against type roles in mystery movie Gupt (1997) and Psychologicla thriller Dushman (1998), earned her critical praise and contributed to her rise as a successful Indian actress. After spending some time off-screen, Kajul returned to full-time acting with the 2006 romantic thriller Fanaa. Throughout the rest of the decade, she worked intermittently and earned critical acclaim for her performance in U Me Aur Hum (2008) and My Name Is Khan (2010). Her work as a film actress resulted in winning 6 Filmfare Awards from 11 nominations, and (together with her late aunt Nutan) keeping a record for most Best Actress wins at Filmfare, with five. Also, she was presented with the Padma Shri (the fourth highest civilian award of the country) by the Government of India in 2011. In addition to her acting career, Kajol is a social activist, working mostly with widows and children, for which she received the Karmaveer Puraskaar prize in 2008. She has also been a talent judge for Zee TV's reality show, Rock-N-Roll Family (2008) and one of the managers at Devgn Entertainment and Software. In 1999, she married actor Ajay Devgn, whom she dated since 1995. They have two children together: a daughter and a son.",$16 Million,"Aug 5, 1974 (45 years old)",Female,5 ft 2 in (1.6 m),Actor,India,Neutral
Asin,"Asin Thottumkal net worth: Asin Thottumkal, mononymously known as Asin, is an Indian film actress who has a net worth of $16 million. Asin started her acting career in the South Indian film industry, but eventually she moved on to appearing mostly in Bollywood films. She made her silver screen debut with the 2001 Malayalam film Narendran Makan Jayakanthan Vaka, starring Kunchacko Boban and directed by Sathyan Anthikad. But she enjoyed her first commercial success with the 2003 Telugu film Amma Nanna O Tamila Ammayi, winning the Filmfare Best Telugu Actress Award. Her first Tamil movie was M. Kumaran S/O Mahalakshmi (2004), which turned out to be a huge success. While for her third Tamil film Ghajini (2005), she earned the Filmfare Best Tamil Actress Award for her incredible performance. Subsequently, she landed the leading roles in several successful movies, most noteworthy being the dramatic thriller Pokkiri (2007) and the magnum opus blockbuster Dasavathaaram (2008) opposite Kamal Haasan. It was in the late 2008, when she made her debut in a Bollywood film with Ghajini opposite Aamir Khan. Asin fetched the Filmfare Best Female Debut Award and many Accolades for Ghajini. Later on, she starred in the 2009 musical London Dreams and the 2011 Anees Bazmee's romantic comedy, Ready. 2011 marked the most successful stage of Asin's Bollywood career, while 2012 noted her first appearance in Sajid Khan's multistarrer Housefull 2 opposite Akshay Kumar.",$16 Million,"Oct 26, 1985 (34 years old)",Female,5 ft 4 in (1.63 m),"Actor, Model",India,Neutral
Anushka Sharma,"Anushka Sharma net worth: Anushka Sharma is an Indian film actress and former model who has a net worth of $16 million. Being born to an army family based in Bangalore, Anushka Sharma was just an ordinary girl with a strong wish to make it big in the world of modeling and no aspirations whatsoever to become an actress. At the age of 18, her wish came true by becoming a model for Wendell Rodricks's Les Vamps Show at the Lakme Fashion Week. Within a year, Anushka became sensational Indian model and thus was chosen to be Rodricks's finale model at the Spring Summer '07 Collection. Ever since, she kept making campaigns for Silk & Shine, Whisper, Nathella Jewelry and Fiat Palio. She turned from a model into an actress in 2008, when she got her first role in Aditya Chopra's Rab Ne Bana Di Jodi, opposite Shahrukh Khan. Actuallly, she was signed by Aditya Chopra for a three-film contract with Yash Raj Films. Sharma received her first critical acclaim for playing the role of a lively wedding planner in the 2010 romantic comedy Band Baaja Baaraat. As a result, she ended up being a two-time Best Actress nominee at the Filmfare Awards ceremony. While in 2012, she fetched the Filmfare Award for Best Supporting Actress for her work in Yash Chopra's romance Jab Tak Hai Jaan.",$16 Million,"May 1, 1988 (31 years old)",Female,5 ft 8 in (1.75 m),"Actor, Model",India,Neutral
Vikram," Vikram is an Indian actor who has a net worth of $20 million. Vikram was born in Chennai, Tamil Nadu, India in April 1966. He mostly appears in Tamil language movies. Vikram has won six Filmfare Awards, a National Film Award, and a Tamil Nadu State Film Award. His debut came in the 1990 movie En Kadhal Kanmani and Vikram would go on to star in many other movies including Sethu, Dhill, Gemini, Dhool, Saamy, Samurai, Kasi, Pithamagan, Anniyan, Kanthaswamy, Deiva Thirumagal, and many others. For his role in the 2015 thriller I, Vikram lost a lot of weight and got rave reviews for the film that became the second highest grossing Tamil movie of all time. He has served as a Youth Envoy for the United Nations Human Settlements Program and has been a brand ambassador of Sanjeevani Trust. He also runs his own welfare association, the Vikram Foundation.",$20 Million,"Apr 17, 1966 (54 years old)",Male,5 ft 6 in (1.68 m),"Actor, Playback Singer, Voice Actor, Film Producer",India,Neutral
Shahid Kapoor," Shahid Kapoor is an Indian actor who has a net worth of $20 million. Shahid Kapoor's rise to stardom is like an extract from a Bollywood film script, turning from a straggler into a winner. Shahid launched his career by performing in music videos and advertisements, and made his Bollywood debut as a background dancer in 1999 Subhash Ghai's directed film Taal. While in 2003, he made his acting debut with the 2003 film Ishq Vishk, which earned him the Filmfare Award for Best Male Debut. Later on, more roles in movies followed, such as Fida (2004), Shikhar (2005), Vivah (2006), Jab We Met (2007) and Kaminey (2009). The last two fetched him Best Actor nominations at the Filmfare ceremony. As for Viva, he enjoyed his first major commercial success. His genuine ability to switch modes, from young and restless, to mature and responsible, has secured him solid ground for a bright acting career. He is already set to film for Bejoy Nambiar's next film, and he has been confirmed a role opposite Sonakshi Sinha in Prabhu Deva's upcoming film titled Namak. Plus, he signed a Bollywood masala entertainer opposite Ileana D'Cruz in the temporarily titled film Phata Poster Nikla Hero set for a 2013 release.",$20 Million,"Feb 25, 1981 (39 years old)",Male,5 ft 8 in (1.73 m),Actor,India,Neutral
Irrfan Khan," Irrfan Khan is an Indian actor who has a net worth of $50 million dollars. Irrfan Khan was born in Jaipur, Rajasthan, India, and went on to graduate from the National School of Drama in New Delhi, India. After graduating, he relocated to Mumbai, where he began working almost immediately in film and television projects. He has appeared in numerous Bollywood films, and has also appeared in a number of British and Hollywood projects. He has also won numerous acting honors in India, including three Filmfare Awards and a National Film Award for Best Actor. Some of his many credits include, ""Salaam Bombay!"", ""The Warrior"", ""The Great Maratha"", ""Banegi Apni Baat"", ""Jai Hanuman"", ""Star Bestsellers"", ""Gunash"", ""Shadows of Time"", ""A Mighty Heart"", ""The Namesake"", ""The Darjeeling Limited"", ""Partition"", ""Slumdog Millionaire"", ""New York, I Love You"", ""Knockout"", ""In Treatment"", ""The Amazing Spider-Man"", ""Life of Pi"", and ""The Lunchbox"".",$50 Million,"Jan 7, 1967 (53 years old)",Male,6 ft (1.83 m),"Actor, Television producer, Television Director",India,Neutral
Dev Anand,"Dev Anand net worth: Dev Anand was an Indian actor, director and producer who had a net worth of $50 million. Dev Anand earned his net worth thanks to a prolific career in the Hindi film industry. He was born on 26th September, 1923 and died on 3rd December, 2011. His original name is Dharam Dev Pishorimal Anand. Apart from acting, directing and producing, Anand also earned a huge reputation in as a writer. He is a part of Anand Family and he is the one who co-founded the Navketan Films in 1949 along with Chetan Anand, his elder brother.
Dev Anand was honored with Padma Bhushan in 2001 by the Indian Government and in 2002 he received Dada Saheeb Phalke Award for his contribution to Hindi cinema. His career spanned over 65 years during which he acted in more than 114 films. In 104 movies of those movie he was the lead actor and he appeared in two English movies as well. Dev was a graduated The Government College, Lahore which is now located in Pakistan.
His hometown was Bombay, which he left during the 1940s and started working at the office of the military censor located at Churchgate. Later he worked as a clerk at an accounting firm and then he joined his elder brother Chetan Anand as the member of Indian People's Theatre Association. He was greatly inspired by Ashok Kumar after watching his film Achhut Kanya.",$50 Million,"Sep 26, 1923 - Dec 3, 2011 (88 years old)",Male,5 ft 6 in (1.7 m),"Actor, Film Producer, Film director, Screenwriter",India,Neutral
Rajesh Khanna,"Rajesh Khanna net worth: Rajesh Khanna was a Hindi film actor, producer and politician who had a net worth of $65 million at the time of his death in 2012. Rajesh Khanna earned his net worth by appearing in lead roles of many Hindi movies during his acting career. Rajesh Khanna was born on 29th December, 1942. He was the first super star for Hindi cinema which is known as Bollywood. During his acting career he managed to create several milestones that have remained untouched by other actors. He is also known as Kaka and some of his fans have even named him as the Original King of Romance in this Hindi film industry. During his lifespan he went into politics from 1991-96 and also produced some movies during 1971-1995. He is also referred as the Hindi Cinema's Original Superstar. He earned these titles while acting in fifteen consecutive blockbuster movies during the 70's. This is a record in Hindi Film Industry that is still to be broken by someone. During March, 1973, Rajesh Khanna got married to Dimple Kapadia. This has happened just eight months prior to Dimple's first Hindi film Bobby. After getting married, Rajesh Khanna had two sweet daughters. The elder one among these two is Twinkle Khanna who married to Akshay Kumar and the younger one is Rinkie Khanna. Rajesh Khanna appeared in total 180 films. Of those 180 films, 163 of them are feature films and the rest are the short films. In his acting career, he received 3 Filmfare awards as the best actor and nominated as the best actor for 14 times. Rajesh died on July 18, 2012 at the age of 69.",$65 Million,"Dec 29, 1942 - Jul 18, 2012 (69 years old)",Male,5 ft 8 in (1.75 m),"Politician, Actor, Film Producer",India,Neutral
Dharmendra,"Dharmendra Singh Deol is an Indian actor with a net worth of $70 million. Dharmendra obtained his net worth by starring in Dil Bhi Tera Hum Bhi Tere in 1960. Dharmendra was born in Phagwara, Punjab, India. Dharmendra has been nominated for Filmfare Best Actor Award several times and has won a Filmfare Lifetime Achievement Award for his contribution to Indian films. Dharmendra's early life was spent at the village named as Sahnewal. At the village Lalton in Ludhiana, his father used to work as a school headmaster and later his family shifted to Bombay. His original name is Dharam Singh Deol and he is the one who is better known as Dharmendra. He is the most popular actor in Hindi movies and also known as the He Man of Bollywood. Till the year 2011, Dharmendra appeared in more than 247 Hindi movies. During the year 1997, he received the Lifetime Achievement Award at Filmfare for his great contribution for the Hindi cinema. He has also received his next Lifetime Achievement Award in 2007 at IIFA Awards. He is named as the Action King in Bollywood. During his acting career, he appeared in several action movies and also considered as the living legend. When Dharmendra was at the peak of his acting career, he was considered as the most handsome actor in this industry. He is also one of the lead actors in one of the greatest Hindi movie Sholay which was directed by Ramesh Sippy. In this film, Dharmendra has shared the silver screen in the lead role with the great Amitabh Bachchan. After this, he also acted in several other hit movies. In this way, Dharmendra established himself as a most popular face in this huge industry.",$70 Million,"Dec 8, 1935 (84 years old)",Male,5 ft 10 in (1.78 m),"Actor, Politician, Film Producer, Businessperson",India,Neutral
Shashi Kapoor,"Shashi Kapoor net worth: Shashi Kapoor is a popular Hindi film actor and successful producer who has a net worth of $80 million. Shashi Kapoor earned his net worth by acting in many roles during his long acting career in Hindi Film industry. Shashi Kapoor or Balbir Raj Prithviraj Kapoor was born on March 18, 1938 in a well known family of Calcutta or at present known as Kolkata. He is both an award winning Hindi film actor as well as successful film producer. He also worked as a director and assistant director in Indian film industry and proved himself very versatile in this entertainment industry. He is also a member of renowned Kapoor family that has produced many acting talents for the Indian Film industry. This family is also known as the destination of India's Bollywood. Shashi Kapoor was greatly influenced by his family members because he is the younger brother of the most popular Hindi film actor Raj Kapoor and Shammi Kapoor. He is also the son of Prithviraj Kapoor. These people are the well known personality in Hindi Film industry since its establishment. Due to these reasons, Shashi Kapoor has ruled in the Hindi films as a front line actor in large numbers of movies. Shashi Kapoor has also received the chance to act in few English movies, which shows his talent and popularity in this industry. Shashi Kapoor was honored with the most prestigious Padma Bhushan award in 2011 by the Govt. of India. Kapoor received the Dadasaheb Phalke Award in 2014 and became the third member of his family to do so. The award is the highest available in Indian cinema.",$80 Million,"Mar 18, 1938 (82 years old)",Male,5 ft 10 in (1.8 m),"Film Producer, Actor, Film director",India,Neutral
Dilip Kumar,"Dilip Kumar net worth: Dilip Kumar is one of the most famous Hindi film actors, directors and producers on the planet. He has a net worth of $85 million. Dilip Kumar earned this net worth from a wildly successful acting career in Hindi cinema. Dilip Kumar was born on 11th December, 1922 and his original name is Mohammad Yusuf Khan. He was also a former parliament member. His first Hindi movie Jwar Bhata was released in 1944. This movie was produced by Bombay Talkies. During his career, he earned the name of Tragedy King and also considered to be the Ultimate Method Actor by Satyajit Ray. In one of his blogs, Amitabh Bachchan has even described Dilip Kumar as one of the best and the greatest actors he has ever seen. He earned all these reputations while acting in more than 60 movies and has a great career that expands for more than six decades. Critics have even acclaimed that Dilip Kumar is the best actor in Hindi cinema. During the year 1954, Dilip Kumar received the first ever best actor award at Filmfare. He is also sharing the record of receiving eight Filmfare awards with Shahrukh Khan. He has been rewarded with the Padma Bhushan award by India Government during 1991 and in 1994 by Dadasaheeb Phalke Award. He is always considered as a great contributor to the Hindi Film industry and always remained as an inspiration for several actors. He worked in different taste of movies that range from romantic to comical and from tragedy to drama. Dilip Kumar's popularity as a quality actor in Hindi Cinema will never cease!",$85 Million,"Dec 11, 1922 (97 years old)",Male,5 ft 10 in (1.78 m),"Politician, Film director, Actor, Screenwriter",India,Neutral
Kamal Haasan,"Kamal Hassan net worth: Kamal Hassan is a popular Indian actor and producer who has a net worth of $100 million. Kamal Hassan earned his net worth by producing, and acting in many successful movies. Kamal Hassan was born on November, 7th 1954. He is a popular screenwriter, film actor, director and producer. Hassan is considered one of the most important method actors in the Indian cinema.
Kamal Hassan won numerous Indian movie awards, including 4 National Film Awards as well as nineteen Filmfare Awards. Apart from acting, directing and screen writing, he worked in movies as a playback singer, choreographer and songwriter. Rajkamal International, which is Kamal Hassan's film production corporation, has produced many of his movies. In 1990, Kamal Hassan was honored with the Padma Shri rewarding his fantastic contribution to Indian cinema.
In 2009, Hassan was listed among the very few actors of India who have worked successful for more than fifty years in Indian cinema. Kamal Hassan secured his second Indian National Film Award recognizing his portrayal of an ingenuous school teacher who tends an innocent amnesiac in 1982's Moondram Pirai. His Tamil movie Nayagan brought him great popularity among the film enthusiasts.",$100 Million,"Nov 7, 1954 (65 years old)",Male,5 ft 4 in (1.65 m),"Screenwriter, Actor, Film Producer, Voice Actor, Film director, Singer, Writer, Songwriter, Choreographer, Playback Singer",India,Neutral
Amitabh Bachchan,"Amitabh Bachchan net worth: Amitabh Bachchan is an Indian film actor who has a net worth of $400 million. Amitabh Bachchan first became famous from his roles in the 70s in Hindi cinema as the ""angry young man"". He eventually went on to become one of the most prominent figures in the history of Indian cinema. Among his many awards throughout his acting career include four National Film Awards, three of which are in the Best Actor category, and fourteen Filmfare Awards. At Filmfare he has received 36 nominations overall, making him the most-nominated performer in any major acting category. He was elected to the Indian Parliament and served as a member from 1984 to 1987. Bachchan has also worked as a playback singer, film producer, narrator and television presenter. Bachchan is known for his deep, baritone voice.
He was born in Allahabad, Uttar Pradesh, to a Hindu Kayastha family. He attended Nainital's Sherwood College, where he majored in the art. At Kirori Mal College of the University of Delhi he completed a Bachelor of Science degree. Amitabh has been an active member of the acting community since 1969, and he has been married to Jaya Bhaduri an Indian actress and politician since 1973. The couple have two children, Shweta Nanda and Abhishek Bachchan. Abhishek is also an actor and is married to actress Aishwarya Rai. In 1969 as a voice narrator in Mrinal Sen's National Award winning film Bhuvan Shome, Bachchan made his film debut. His first role as an actor was in Saat Hindustani, a film directed by Khwaja Ahmad Abbas as one of the seven protagonists. Bachchan won his first National Film Award for Best Newcomer. Some of his most recent roles include films such as Rann and Teen Patti. Amitabh Bachchan: the Legend was published in 1999, To be or not to be: Amitabh Bachchan in 2004, AB: The Legend: (A Photographer's Tribute) in 2006 are among the many books that have been writing about Bachchan's life.",$400 Million,"Oct 11, 1942 (77 years old)",Male,6 ft (1.85 m),"Actor, Musician, Presenter, Film Producer, Singer, Voice Actor, Television presenter, Playback Singer",British Raj,Neutral
Shah Rukh Khan," Shahrukh Khan is an Indian actor, film producer, and TV personality who has a net worth of $600 million. Often called the King of Bollywood, Khan has appeared in more than 80 Bollywood films.
Shahrukh Khan was born November 2, 1965, into a Muslim family in New Delhi, India. He prefers his name to be written out as Shah Rukh Kahn and is commonly called by the acronym SRK. His father had several business ventures including a restaurant, and the family lived a middle-class life in rented apartments. Khan went to St. Columba's School, in Rajendra Nagar where he excelled in football and hockey and received the school's highest honor, the Sword of Honour. Initially, Khan wanted to pursue a career in sports, however, due to a shoulder injury, he could no longer play.
Instead, he acted in stage plays and received praise for his imitations of Bollywood actors.
Khan attended Hansraj College where he got his B.A. degree in Economics. During his undergraduate years, Khan spent much of his time at Delhi's Theatre Action Group (TAG), where he studied acting under the mentorship of theatre director Barry John. He received his Master's Degree in Mass Communication at Jaimia Millia Islamia. His father passed away in 1981 from cancer and his mother died in 1991 from complications of diabetes. After the death of their parents, SRK's older sister Shahnaz Lalarukh suffered from severe depression. He became her caretaker. She lives with him and his family to this day.
 Khan began his career with appearances in several television series in the late 1980s. In 1991, Kahn moved from Delhi to Mumbai to pursue a full-time career in Bollywood and was quickly signed to four films.
His film debut was in ""Deewana,"" which was released in June 1992. ""Deewana"" became a box office hit and launched Khan's Bollywood career. 
Early in his career, Khan was recognized for portraying villainous roles in the films ""Darr"" (1993), ""Baazigar"" (1993) and ""Anjaam"" (1994). He then rose to prominence after starring in a series of romantic films, including ""Dilwale Dulhania Le Jayenge"" (1995), ""Dil To Pagal Hai"" (1997), ""Kuch Kuch Hota Hai"" (1998), ""Mohabbatein"" (2000) and ""Kabhi Khushi Kabhie Gham…"" (2001). Khan went on to earn critical acclaim for his portrayal of an alcoholic in ""Devdas"" (2002), a NASA scientist in ""Swades"" (2004), a hockey coach in ""Chak De! India"" (2007) and a man with Asperger syndrome in ""My Name Is Khan"" (2010). His highest-grossing films include the comedies ""Chennai Express"" (2013), ""Happy New Year"" (2014), ""Dilwale"" (2015), and the crime film ""Raees"" (2017). Many of his films display themes of Indian national identity and connections with diaspora communities, or gender, racial, social and religious differences and grievances.
Khan is co-chairman of the motion picture production company Red Chillies Entertainment. He is a frequent television presenter and stage show performer. The media often label him as ""Brand SRK"" because of his many endorsements and entrepreneurial ventures. Khan gets an enormous amount of media coverage in India thanks to starring in two or three films a year, appearing in television commercials, print ads and on billboards. He has a fanatical fanbase that is estimated to be more than one billion strong.
The Government of India has awarded him the Padma Shri, the fourth-highest Indian civilian honor, and the Government of France the Officier of the Ordre des Arts et des Lettres, the second-degree of the honor, and the Chevalier of the Legion of Honour, the fifth degree of the honor.
Shah Rukh Khan married Gauri Chibber in October 1991 after six years of dating. They have three children: sons Aryan and AbRam and daughter Suhana. Aryan is a student at the University of Southern California's School of Cinematic Arts and Suhana is studying drama and acting at New York University. His family practices both his Muslim and his wife's Hindu faiths.
During a 2019 interview with David Letterman on his Netflix show ""My Next Guest,"" Khan recounted the early days of his courtship of his wife Gauri. Specifically, he spoke about how at one point in the early days of their relationship she moved to Mumbai to get away from him. He was too possessive. So what did Khan do? He got together a group of friends and went to Mumbai to find her. He basically stalked her.
Khan's philanthropic endeavors focus on health care and disaster relief. He was honored with UNESCO's Pyramide con Marni award in 2011 for his support of children's education and the World Economic Forum's Crystal Award in 2018 for his leadership in championing women's and children's rights in India. He regularly features in listings of the most influential people in Indian culture, and in 2008, Newsweek named him one of their fifty most powerful people in the world.
In 2011 the Los Angeles Times called him ""the biggest movie star you've never heard of … perhaps the world's biggest movie star, period. He is called ""The Baadshah of Bollywood,"" ""The King of Bollywood"" and ""King Khan.""
Khan is the co-owner of the Indian Premier League cricket team Kolkata Knight Riders and the 
aribbean Premier League team Trinbago Knight Riders.
Shah Rukh Khan's yearly salary is $72,727,000. Various media reports claim that Khan makes Rs 20-25 crore per film, roughly equivalent to $28 million to $35 million.
 Shah Rukh Khan and his wife own a six-story, 26,328 square foot home in Mumbai called Mannat. Khan and his wife bought the home in 2001. It faces the Arabian Sea. He also owns a villa in the Palm Jumeirah in Dubai, UAE. The six-bedroom villa contains a spa, gym, and a panoramic view of the sea. Khan also has homes in New Delhi and London.",$600 Million,"Nov 2, 1965 (54 years old)",Male,5 ft 8 in (1.73 m),"Actor, Film Producer, Presenter, Voice Actor",India,Neutral
